country,happiness_score,gdp_per_capita,life_expectancy,year,population
Switzerland,7.587,1.39651,0.94143,2015,8282396.0
Iceland,7.561,1.30232,0.94784,2015,330815.0
Denmark,7.527,1.32548,0.87464,2015,5683483.0
Norway,7.522,1.459,0.88521,2015,5188607.0
Canada,7.427,1.32629,0.90563,2015,35704498.0
Finland,7.406,1.29025,0.88911,2015,5479531.0
Netherlands,7.378,1.32944,0.89284,2015,16939923.0
Sweden,7.364,1.33171,0.91087,2015,9799186.0
New Zealand,7.286,1.25018,0.90837,2015,4609400.0
Australia,7.284,1.33358,0.93156,2015,23815995.0
Israel,7.278,1.22857,0.91387,2015,8380100.0
Costa Rica,7.226,0.95578,0.86027,2015,4818038.0
Austria,7.2,1.33723,0.89042,2015,8642699.0
Mexico,7.187,1.02054,0.81444,2015,121072306.0
United States,7.119,1.39451,0.86179,2015,320738994.0
Brazil,6.983,0.98124,0.69702,2015,201675532.0
Luxembourg,6.946,1.56391,0.91894,2015,569604.0
Ireland,6.94,1.33596,0.89533,2015,4701957.0
Belgium,6.937,1.30782,0.89667,2015,11274196.0
United Kingdom,6.867,1.26637,0.90943,2015,65116219.0
Oman,6.853,1.36011,0.76276,2015,4184895.0
Venezuela,6.81,1.04424,0.72052,2015,30573972.0
Singapore,6.798,1.52186,1.02525,2015,5535002.0
Panama,6.786,1.06353,0.79661,2015,3960035.0
Germany,6.75,1.32792,0.89186,2015,81686611.0
Chile,6.67,1.10715,0.85857,2015,18047625.0
Qatar,6.611,1.69042,0.79733,2015,2344557.0
France,6.575,1.27778,0.94579,2015,66548272.0
Argentina,6.574,1.05351,0.78723,2015,43477012.0
Czech Republic,6.505,1.17898,0.84483,2015,10546059.0
Uruguay,6.485,1.06166,0.8116,2015,3368017.0
Colombia,6.477,0.91861,0.69077,2015,46969940.0
Thailand,6.455,0.9669,0.7385,2015,70540795.0
Spain,6.329,1.23011,0.95562,2015,46444832.0
Malta,6.302,1.2074,0.88721,2015,445053.0
Kuwait,6.295,1.55422,0.72492,2015,3834574.0
Suriname,6.269,0.99534,0.6082,2015,581627.0
El Salvador,6.13,0.76454,0.67737,2015,6183676.0
Guatemala,6.123,0.74553,0.64425,2015,15971743.0
Uzbekistan,6.003,0.63244,0.59772,2015,30749346.0
Slovakia,5.995,1.16891,0.78902,2015,5423801.0
Japan,5.987,1.27074,0.99111,2015,127141000.0
Ecuador,5.975,0.86402,0.79075,2015,16266225.0
Bahrain,5.96,1.32376,0.74716,2015,1370322.0
Italy,5.948,1.25114,0.95446,2015,60730582.0
Bolivia,5.89,0.68133,0.5392,2015,11014705.0
Moldova,5.889,0.59448,0.61826,2015,2835978.0
Paraguay,5.878,0.75985,0.66098,2015,6159103.0
Kazakhstan,5.855,1.12254,0.64368,2015,18084169.0
Slovenia,5.848,1.18498,0.87337,2015,2063531.0
Lithuania,5.833,1.14723,0.73128,2015,2904910.0
Nicaragua,5.828,0.59325,0.74314,2015,6149417.0
Peru,5.824,0.90019,0.73017,2015,30457600.0
Belarus,5.813,1.03192,0.73608,2015,9461076.0
Poland,5.791,1.12555,0.77903,2015,37986412.0
Malaysia,5.77,1.12486,0.72394,2015,31232798.0
Croatia,5.759,1.08254,0.78805,2015,4151725.0
Libya,5.754,1.13145,0.7038,2015,6531819.0
Russia,5.716,1.13764,0.66926,2015,144640716.0
Jamaica,5.709,0.81038,0.68741,2015,2802534.0
Cyprus,5.689,1.20813,0.92356,2015,1219502.0
Algeria,5.605,0.93929,0.61766,2015,40019529.0
Kosovo,5.589,0.80148,0.63132,2015,1788274.0
Turkmenistan,5.548,0.95847,0.53886,2015,6215770.0
Mauritius,5.477,1.00761,0.7095,2015,1262879.0
Estonia,5.429,1.15174,0.77361,2015,1315407.0
Indonesia,5.399,0.82827,0.63793,2015,261799249.0
Turkey,5.332,1.06098,0.73172,2015,78218479.0
Kyrgyzstan,5.286,0.47428,0.65088,2015,6040035.5
Nigeria,5.268,0.65435,0.16007,2015,190671878.0
Bhutan,5.253,0.77042,0.57407,2015,740618.0
Azerbaijan,5.212,1.02389,0.64045,2015,9649341.0
Pakistan,5.194,0.59543,0.51466,2015,217290883.0
Jordan,5.192,0.90198,0.69639,2015,9544729.0
Montenegro,5.192,0.97438,0.72521,2015,622159.0
China,5.14,0.89012,0.81658,2015,1379860000.0
Zambia,5.129,0.47038,0.29924,2015,16399089.0
Romania,5.124,1.04345,0.7689,2015,19815616.0
Serbia,5.123,0.92053,0.74836,2015,7095383.0
Portugal,5.102,1.15991,0.87519,2015,10358076.0
Latvia,5.098,1.11312,0.72437,2015,1977527.0
Philippines,5.073,0.70532,0.58114,2015,105312992.0
Morocco,5.013,0.73479,0.60954,2015,34607588.0
Mozambique,4.971,0.08308,0.09131,2015,26547572.0
Albania,4.959,0.87867,0.81325,2015,2880703.0
Bosnia and Herzegovina,4.949,0.83223,0.79081,2015,3518541.0
Lesotho,4.898,0.37545,0.07612,2015,2104611.0
Dominican Republic,4.885,0.89537,0.66825,2015,10434829.0
Mongolia,4.874,0.82819,0.60268,2015,3026864.0
Eswatini,4.867,0.71206,0.07566,2015,1142813.0
Greece,4.857,1.15406,0.88213,2015,10820883.0
Lebanon,4.839,1.02564,0.83947,2015,6472469.0
Hungary,4.8,1.12094,0.75905,2015,9843028.0
Honduras,4.788,0.59532,0.6951,2015,9237305.0
Tajikistan,4.786,0.39047,0.57379,2015,8643840.0
Tunisia,4.739,0.88113,0.73793,2015,11402264.0
Bangladesh,4.694,0.39753,0.60164,2015,159383179.0
Iran,4.686,1.0088,0.69805,2015,82619362.0
Ukraine,4.681,0.79907,0.6739,2015,45784896.0
Iraq,4.677,0.98549,0.60237,2015,37560535.0
Ghana,4.633,0.54558,0.40132,2015,28696068.0
Zimbabwe,4.61,0.271,0.33475,2015,14399013.0
Liberia,4.571,0.0712,0.34201,2015,4659431.0
India,4.565,0.64499,0.51529,2015,1328024498.0
Sudan,4.55,0.52107,0.36878,2015,40024431.0
Haiti,4.518,0.26673,0.38847,2015,10523242.0
DR Congo,4.517,0.0,0.09806,2015,81035531.0
Nepal,4.514,0.35997,0.56874,2015,27823629.0
Ethiopia,4.512,0.19073,0.44055,2015,103867135.0
Sierra Leone,4.507,0.33024,0.0,2015,7037655.0
Mauritania,4.436,0.45407,0.35874,2015,3965959.0
Kenya,4.419,0.36471,0.41435,2015,47088526.0
Djibouti,4.369,0.44025,0.36291,2015,1020313.0
Armenia,4.35,0.76821,0.7299,2015,3004600.0
Botswana,4.332,0.99355,0.04776,2015,2203273.0
Myanmar,4.307,0.27108,0.48246,2015,51089056.0
Georgia,4.297,0.7419,0.72926,2015,3725276.0
Malawi,4.292,0.01604,0.22562,2015,17085587.0
Sri Lanka,4.271,0.83524,0.70806,2015,20970000.0
Cameroon,4.252,0.4225,0.23402,2015,22763414.0
Bulgaria,4.218,1.01216,0.76649,2015,7177991.0
Yemen,4.077,0.54649,0.40064,2015,31159379.0
Angola,4.033,0.75778,0.16683,2015,28157798.0
Mali,3.995,0.26074,0.20583,2015,18593022.0
Republic of Congo,3.989,0.67866,0.31051,2015,5097581.0
Comoros,3.956,0.23906,0.36315,2015,726682.0
Uganda,3.931,0.21102,0.33861,2015,37531446.0
Senegal,3.904,0.36498,0.4354,2015,14593331.0
Gabon,3.896,1.06024,0.43372,2015,2040989.0
Niger,3.845,0.0694,0.29707,2015,19939498.0
Cambodia,3.819,0.46038,0.61114,2015,15623251.0
Tanzania,3.781,0.2852,0.38215,2015,52020962.0
Madagascar,3.681,0.20824,0.46721,2015,25426702.0
Chad,3.667,0.34193,0.1501,2015,14647621.0
Guinea,3.656,0.17417,0.24009,2015,11767070.0
Cote d'Ivoire,3.655,0.46534,0.15185,2015,25246342.0
Burkina Faso,3.587,0.25812,0.27125,2015,18777487.0
Afghanistan,3.575,0.31982,0.30335,2015,33831764.0
Rwanda,3.465,0.22208,0.42864,2015,11640022.0
Benin,3.34,0.28665,0.3191,2015,11360681.0
Burundi,2.905,0.0153,0.22396,2015,11047580.0
Togo,2.839,0.20868,0.28443,2015,7663195.0
Denmark,7.526,1.44178,0.79504,2016,5728010.0
Switzerland,7.509,1.52733,0.86303,2016,8373338.0
Iceland,7.501,1.42666,0.86733,2016,335439.0
Norway,7.498,1.57744,0.79579,2016,5234519.0
Finland,7.413,1.40598,0.81091,2016,5495303.0
Canada,7.404,1.44015,0.8276,2016,36110803.0
Netherlands,7.339,1.46468,0.81231,2016,17030314.0
New Zealand,7.334,1.36066,0.83096,2016,4714100.0
Australia,7.313,1.44443,0.8512,2016,24190907.0
Sweden,7.291,1.45181,0.83121,2016,9923085.0
Israel,7.267,1.33766,0.84917,2016,8546000.0
Austria,7.119,1.45038,0.80565,2016,8736668.0
United States,7.104,1.50796,0.779,2016,323071755.0
Costa Rica,7.087,1.06879,0.76146,2016,4866998.0
Puerto Rico,7.039,1.35943,0.77758,2016,3406672.0
Germany,6.994,1.44787,0.81487,2016,82348669.0
Brazil,6.952,1.08754,0.61415,2016,203218114.0
Belgium,6.929,1.42539,0.81959,2016,11331422.0
Ireland,6.907,1.48341,0.81455,2016,4755335.0
Luxembourg,6.871,1.69752,0.84542,2016,582014.0
Mexico,6.778,1.11508,0.71143,2016,122251351.0
Singapore,6.739,1.64555,0.94719,2016,5607283.0
United Kingdom,6.725,1.40283,0.80991,2016,65611593.0
Chile,6.705,1.2167,0.81883,2016,18267221.0
Panama,6.701,1.18306,0.70835,2016,4029086.0
Argentina,6.65,1.15137,0.69711,2016,43900313.0
Czech Republic,6.596,1.30915,0.76376,2016,10566332.0
Uruguay,6.545,1.18157,0.72183,2016,3379283.0
Malta,6.488,1.30782,0.80315,2016,455356.0
Colombia,6.481,1.03032,0.59659,2016,47437512.0
France,6.478,1.39488,0.83795,2016,66724104.0
Thailand,6.474,1.0893,0.64915,2016,70859841.0
Qatar,6.375,1.82427,0.71723,2016,2477113.0
Spain,6.361,1.34253,0.87896,2016,46484062.0
Algeria,6.355,1.05266,0.61804,2016,40850721.0
Guatemala,6.324,0.83454,0.54039,2016,16268760.0
Suriname,6.269,1.09686,0.50933,2016,587757.0
Kuwait,6.239,1.61714,0.63569,2016,4004096.0
Bahrain,6.218,1.44024,0.65696,2016,1423726.0
Venezuela,6.084,1.13367,0.61904,2016,30765720.0
Slovakia,6.078,1.27973,0.70367,2016,5430798.0
El Salvador,6.068,0.8737,0.596,2016,6200800.0
Malaysia,6.005,1.25142,0.62366,2016,31789685.0
Nicaragua,5.992,0.69384,0.65213,2016,6232666.0
Uzbekistan,5.987,0.73591,0.50163,2016,31284568.0
Italy,5.977,1.35495,0.85102,2016,60627498.0
Ecuador,5.976,0.97306,0.68613,2016,16505139.0
Belize,5.956,0.87616,0.45569,2016,364705.0
Japan,5.921,1.38007,0.91491,2016,127076000.0
Kazakhstan,5.919,1.22943,0.57386,2016,18363600.0
Moldova,5.897,0.69177,0.52309,2016,2803186.0
Russia,5.856,1.23228,0.58991,2016,145015460.0
Poland,5.835,1.24585,0.69058,2016,37970087.0
Bolivia,5.822,0.79422,0.4697,2016,11180020.0
Lithuania,5.813,1.2692,0.64674,2016,2868231.0
Belarus,5.802,1.13062,0.63104,2016,9469379.0
Slovenia,5.768,1.29947,0.79151,2016,2065042.0
Peru,5.743,0.99602,0.62994,2016,30866494.0
Turkmenistan,5.658,1.08017,0.44006,2016,6360041.0
Mauritius,5.648,1.14372,0.66189,2016,1263747.0
Libya,5.615,1.06688,0.52304,2016,6632126.0
Latvia,5.56,1.21788,0.63952,2016,1959537.0
Cyprus,5.546,1.31857,0.8488,2016,1237112.0
Paraguay,5.538,0.89373,0.58295,2016,6249126.0
Romania,5.528,1.1697,0.67602,2016,19702267.0
Estonia,5.517,1.27964,0.68098,2016,1315790.0
Jamaica,5.51,0.89333,0.59469,2016,2809915.0
Croatia,5.488,1.18649,0.70524,2016,4106867.0
Somalia,5.44,0.0,0.11466,2016,14348740.0
Kosovo,5.401,0.90145,0.54,2016,1777568.0
Turkey,5.389,1.16492,0.64718,2016,79277962.0
Indonesia,5.314,0.95104,0.49374,2016,264627418.0
Jordan,5.303,0.99673,0.60712,2016,10006367.0
Azerbaijan,5.291,1.12373,0.54504,2016,9757812.0
Philippines,5.279,0.81217,0.47036,2016,106735719.0
China,5.245,1.0278,0.73561,2016,1387790000.0
Bhutan,5.196,0.8527,0.49759,2016,747866.0
Kyrgyzstan,5.185,0.56044,0.55449,2016,6175337.5
Serbia,5.177,1.03437,0.6458,2016,7058322.0
Bosnia and Herzegovina,5.163,0.93383,0.70766,2016,3473003.0
Montenegro,5.161,1.07838,0.63533,2016,622303.0
Dominican Republic,5.155,1.02787,0.57669,2016,10551430.0
Morocco,5.151,0.84058,0.59471,2016,35023457.0
Hungary,5.145,1.24142,0.67608,2016,9814023.0
Pakistan,5.132,0.68816,0.40306,2016,220138869.0
Lebanon,5.129,1.12268,0.76171,2016,6323060.0
Portugal,5.123,1.27607,0.79363,2016,10325452.0
Tunisia,5.045,0.97724,0.59577,2016,11528674.0
Greece,5.033,1.24886,0.80029,2016,10775971.0
Tajikistan,4.996,0.48835,0.53119,2016,8865631.0
Mongolia,4.907,0.98853,0.55469,2016,3088856.0
Nigeria,4.875,0.75216,0.05108,2016,195443700.0
Honduras,4.871,0.69429,0.58383,2016,9412380.0
Iran,4.813,1.11758,0.64232,2016,83812228.0
Zambia,4.795,0.61202,0.23573,2016,16914423.0
Nepal,4.793,0.44626,0.50073,2016,27955462.0
Albania,4.655,0.9553,0.73007,2016,2876101.0
Bangladesh,4.643,0.54177,0.52989,2016,160811932.0
Sierra Leone,4.635,0.36485,0.0,2016,7205328.0
Iraq,4.575,1.07474,0.51076,2016,38469627.0
Namibia,4.574,0.93287,0.34745,2016,2439213.0
Cameroon,4.513,0.52497,0.12698,2016,23454161.0
Ethiopia,4.508,0.29283,0.34578,2016,106718162.0
Sri Lanka,4.415,0.97318,0.62007,2016,21209000.0
India,4.404,0.74036,0.45091,2016,1343944296.0
Myanmar,4.395,0.34112,0.3988,2016,51495696.0
Armenia,4.36,0.86086,0.64083,2016,2992300.0
Kenya,4.356,0.52267,0.30147,2016,48139687.0
Ukraine,4.324,0.87287,0.58628,2016,45616832.0
Ghana,4.276,0.63107,0.29681,2016,29356742.0
DR Congo,4.272,0.05661,0.188,2016,83956415.0
Georgia,4.252,0.83792,0.64035,2016,3727505.0
Republic of Congo,4.236,0.77109,0.28212,2016,5222536.0
Senegal,4.219,0.44314,0.40457,2016,15034521.0
Bulgaria,4.217,1.11306,0.67806,2016,7127822.0
Mauritania,4.201,0.61391,0.28639,2016,4086657.0
Zimbabwe,4.193,0.35041,0.1595,2016,14600294.0
Malawi,4.156,0.08709,0.29364,2016,17557739.0
Sudan,4.139,0.63069,0.29759,2016,41259892.0
Gabon,4.121,1.15851,0.3494,2016,2100306.0
Mali,4.073,0.31292,0.16347,2016,19191289.0
Haiti,4.028,0.34097,0.27494,2016,10671457.0
Botswana,3.974,1.09426,0.34752,2016,2234776.0
Comoros,3.956,0.27509,0.29981,2016,741741.0
Cote d'Ivoire,3.916,0.55507,0.04476,2016,25989405.0
Cambodia,3.907,0.55604,0.42494,2016,15852803.0
Angola,3.866,0.84731,0.04991,2016,29183070.0
Niger,3.856,0.1327,0.26162,2016,20685753.0
South Sudan,3.832,0.39394,0.15781,2016,10830102.0
Chad,3.763,0.42214,0.03824,2016,15114655.0
Burkina Faso,3.739,0.31995,0.21297,2016,19334856.0
Uganda,3.739,0.34719,0.19625,2016,38799152.0
Yemen,3.724,0.57939,0.31048,2016,32109010.0
Madagascar,3.695,0.27954,0.37109,2016,26099952.0
Tanzania,3.666,0.47155,0.357,2016,53824013.0
Liberia,3.622,0.10706,0.23165,2016,4755608.0
Guinea,3.607,0.22415,0.18829,2016,12073030.0
Rwanda,3.515,0.32846,0.31865,2016,11919183.0
Benin,3.484,0.39499,0.21028,2016,11697842.0
Afghanistan,3.36,0.38227,0.17344,2016,34700612.0
Togo,3.303,0.28123,0.24811,2016,7858289.0
Burundi,2.905,0.06831,0.15747,2016,11239451.0
Norway,7.53700017929077,1.61646318435669,0.796666502952576,2017,5276968.0
Denmark,7.52199983596802,1.48238301277161,0.792565524578094,2017,5764980.0
Iceland,7.50400018692017,1.480633020401,0.833552122116089,2017,343400.0
Switzerland,7.49399995803833,1.56497955322266,0.858131289482117,2017,8451840.0
Finland,7.4689998626709,1.44357192516327,0.80915766954422,2017,5508214.0
Netherlands,7.3769998550415,1.50394463539124,0.810696125030518,2017,17131296.0
Canada,7.31599998474121,1.47920441627502,0.83455765247345,2017,36545075.0
New Zealand,7.31400012969971,1.40570604801178,0.816759705543518,2017,4813600.0
Sweden,7.28399991989136,1.49438726902008,0.830875158309937,2017,10057698.0
Australia,7.28399991989136,1.484414935112,0.84388679265976,2017,24592588.0
Israel,7.21299982070923,1.37538242340088,0.83840399980545,2017,8713300.0
Costa Rica,7.0789999961853,1.10970628261566,0.759509265422821,2017,4913177.0
Austria,7.00600004196167,1.48709726333618,0.815328419208527,2017,8797566.0
United States,6.99300003051758,1.54625928401947,0.77428662776947,2017,325122128.0
Ireland,6.97700023651123,1.53570663928986,0.80978262424469,2017,4807388.0
Germany,6.95100021362305,1.48792338371277,0.798950731754303,2017,82657002.0
Belgium,6.89099979400635,1.46378076076508,0.818091869354248,2017,11375158.0
Luxembourg,6.86299991607666,1.74194359779358,0.845089495182037,2017,596336.0
United Kingdom,6.71400022506714,1.44163393974304,0.805335938930511,2017,66058859.0
Chile,6.65199995040894,1.25278460979462,0.819479703903198,2017,18558868.0
Brazil,6.63500022888184,1.10735321044922,0.616552352905273,2017,204703445.0
Czech Republic,6.60900020599365,1.35268235206604,0.754444003105164,2017,10594438.0
Argentina,6.59899997711182,1.18529546260834,0.695137083530426,2017,44288894.0
Mexico,6.57800006866455,1.15318381786346,0.709978997707367,2017,123400057.0
Singapore,6.57200002670288,1.69227766990662,0.949492394924164,2017,5612253.0
Malta,6.52699995040894,1.34327983856201,0.821944236755371,2017,467999.0
Uruguay,6.4539999961853,1.21755969524384,0.719216823577881,2017,3388438.0
Guatemala,6.4539999961853,0.872001945972443,0.540239989757538,2017,16567357.0
Panama,6.4520001411438,1.23374843597412,0.706156134605408,2017,4098707.0
France,6.44199991226196,1.43092346191406,0.844465851783752,2017,66918020.0
Thailand,6.42399978637695,1.12786877155304,0.647239029407501,2017,71160187.0
Spain,6.40299987792969,1.38439786434174,0.888960599899292,2017,46593236.0
Qatar,6.375,1.87076568603516,0.710098087787628,2017,2545820.0
Colombia,6.35699987411499,1.07062232494354,0.595027923583984,2017,48131078.0
Kuwait,6.10500001907349,1.63295245170593,0.632105708122253,2017,4154812.0
Slovakia,6.09800004959106,1.32539355754852,0.712732911109924,2017,5439232.0
Bahrain,6.08699989318848,1.48841226100922,0.653133034706116,2017,1501116.0
Malaysia,6.08400011062622,1.29121541976929,0.618784427642822,2017,32355644.0
Nicaragua,6.07100009918213,0.737299203872681,0.653095960617065,2017,6316231.0
Ecuador,6.00799989700317,1.00082039833069,0.685636222362518,2017,16759519.0
El Salvador,6.00299978256226,0.909784495830536,0.596018552780151,2017,6213533.0
Poland,5.97300004959106,1.29178786277771,0.699475347995758,2017,37974826.0
Uzbekistan,5.97100019454956,0.786441087722778,0.498272627592087,2017,31819178.0
Italy,5.96400022506714,1.39506661891937,0.853144347667694,2017,60536709.0
Russia,5.96299982070923,1.28177809715271,0.547349333763123,2017,145293260.0
Belize,5.95599985122681,0.907975316047668,0.450191766023636,2017,373202.0
Japan,5.92000007629395,1.41691517829895,0.913475871086121,2017,126972000.0
Lithuania,5.90199995040894,1.31458234786987,0.62894994020462,2017,2828403.0
Algeria,5.87200021743774,1.09186446666718,0.617584645748138,2017,41689299.0
Latvia,5.84999990463257,1.26074862480164,0.638566970825195,2017,1942248.0
Moldova,5.83799982070923,0.728870630264282,0.589465200901031,2017,2755189.0
Romania,5.82499980926514,1.21768391132355,0.685158312320709,2017,19588715.0
Bolivia,5.82299995422363,0.833756566047668,0.473630249500275,2017,11344587.0
Turkmenistan,5.82200002670288,1.13077676296234,0.437726080417633,2017,6507061.0
Kazakhstan,5.81899976730347,1.28455626964569,0.606041550636292,2017,18651931.0
Slovenia,5.75799989700317,1.3412059545517,0.790828227996826,2017,2066388.0
Peru,5.71500015258789,1.03522527217865,0.630166113376617,2017,31324637.0
Mauritius,5.62900018692017,1.18939554691315,0.638007462024689,2017,1264887.0
Cyprus,5.62099981307983,1.35593807697296,0.84471470117569,2017,1254275.0
Estonia,5.61100006103516,1.32087934017181,0.695168316364288,2017,1317384.0
Belarus,5.56899976730347,1.15655755996704,0.637714266777039,2017,9458989.0
Libya,5.52500009536743,1.10180306434631,0.520169019699097,2017,6738770.0
