country,happiness_score,gdp_per_capita,life_expectancy,year,population
Turkey,5.5,1.19827437400818,0.637605607509613,2017,80312698.0
Paraguay,5.49300003051758,0.932537317276001,0.579250693321228,2017,6338660.0
Philippines,5.42999982833862,0.85769921541214,0.468009054660797,2017,108119693.0
Serbia,5.39499998092651,1.06931757926941,0.65078467130661,2017,7020858.0
Jordan,5.33599996566772,0.991012394428253,0.604590058326721,2017,10234226.0
Hungary,5.32399988174438,1.2860119342804,0.687763452529907,2017,9787966.0
Jamaica,5.31099987030029,0.925579309463501,0.641022384166718,2017,2815764.0
Croatia,5.29300022125244,1.22255623340607,0.701288521289825,2017,4041407.0
Kosovo,5.27899980545044,0.951484382152557,0.541452050209045,2017,1791019.0
China,5.27299976348877,1.08116579055786,0.741415500640869,2017,1396215000.0
Pakistan,5.26900005340576,0.72688353061676,0.402047783136368,2017,223273967.0
Indonesia,5.26200008392334,0.995538592338562,0.492345720529556,2017,267346658.0
Venezuela,5.25,1.12843120098114,0.617144227027893,2017,30565323.0
Montenegro,5.23699998855591,1.12112903594971,0.667464673519135,2017,622373.0
Morocco,5.2350001335144,0.878114581108093,0.59771066904068,2017,35446392.0
Azerbaijan,5.23400020599365,1.15360176563263,0.540775775909424,2017,9854033.0
Dominican Republic,5.23000001907349,1.07937383651733,0.574873745441437,2017,10666843.0
Greece,5.22700023651123,1.28948748111725,0.810198903083801,2017,10754679.0
Lebanon,5.22499990463257,1.07498753070831,0.735081076622009,2017,6160128.0
Portugal,5.19500017166138,1.3151752948761,0.795843541622162,2017,10300300.0
Bosnia and Herzegovina,5.18200016021729,0.982409417629242,0.705186307430267,2017,3428682.0
Honduras,5.18100023269653,0.730573117733002,0.582569479942322,2017,9588137.0
Somalia,5.15100002288818,0.0226431842893362,0.113989137113094,2017,14916629.0
Nigeria,5.07399988174438,0.783756256103516,0.0569157302379608,2017,200254579.0
Tajikistan,5.04099988937378,0.524713635444641,0.529235124588013,2017,9085946.0
Bhutan,5.01100015640259,0.885416388511658,0.495879292488098,2017,754335.0
Kyrgyzstan,5.00400018692017,0.596220076084137,0.553457796573639,2017,6306695.5
Nepal,4.96199989318848,0.479820191860199,0.504130780696869,2017,28011258.0
Mongolia,4.95499992370605,1.02723586559296,0.557783484458923,2017,3148917.0
Tunisia,4.80499982833862,1.00726580619812,0.613212049007416,2017,11650498.0
Bulgaria,4.71400022506714,1.1614590883255,0.708217680454254,2017,7075947.0
Sierra Leone,4.70900011062622,0.36842092871666,0.0055647538974881,2017,7379299.0
Cameroon,4.69500017166138,0.564305365085602,0.132892116904259,2017,24128601.0
Iran,4.69199991226196,1.15687310695648,0.639333188533783,2017,85026754.0
Albania,4.64400005340576,0.996192753314972,0.731159746646881,2017,2873457.0
Bangladesh,4.60799980163574,0.586682975292206,0.533241033554077,2017,162186147.0
Namibia,4.57399988174438,0.964434325695038,0.33861181139946,2017,2506853.0
Kenya,4.55299997329712,0.560479462146759,0.309988349676132,2017,49197766.0
Mozambique,4.55000019073486,0.234305649995804,0.106654435396194,2017,28166393.0
Myanmar,4.54500007629395,0.367110550403595,0.397522568702698,2017,51894938.0
Senegal,4.53499984741211,0.479309022426605,0.409362852573395,2017,15475002.0
Zambia,4.51399993896484,0.636406779289246,0.257835894823074,2017,17441320.0
Iraq,4.49700021743774,1.10271048545837,0.501180469989777,2017,39337353.0
Gabon,4.46500015258789,1.1982102394104,0.356578588485718,2017,2156900.0
Ethiopia,4.46000003814697,0.339233845472336,0.353409707546234,2017,109666481.0
Sri Lanka,4.44000005722046,1.00985014438629,0.625130832195282,2017,21444000.0
Armenia,4.37599992752075,0.900596737861633,0.637524425983429,2017,2979400.0
India,4.31500005722046,0.792221248149872,0.455427616834641,2017,1359657400.0
Mauritania,4.29199981689453,0.648457288742065,0.285349279642105,2017,4210600.0
Republic of Congo,4.29099988937378,0.808964252471924,0.28995743393898,2017,5351011.0
Georgia,4.28599977493286,0.950612664222717,0.649546980857849,2017,3728004.0
DR Congo,4.28000020980835,0.0921023488044739,0.191407024860382,2017,87083398.0
Mali,4.19000005722046,0.476180493831635,0.169365674257278,2017,19813011.0
Cote d'Ivoire,4.17999982833862,0.603048920631409,0.0486421696841717,2017,26733372.0
Cambodia,4.16800022125244,0.601765096187592,0.429783403873444,2017,16073372.0
Sudan,4.13899993896484,0.65951669216156,0.290920823812485,2017,42714306.0
Ghana,4.11999988555908,0.667224824428558,0.295637726783752,2017,30008354.0
Ukraine,4.09600019454956,0.89465194940567,0.575903952121735,2017,45436041.0
Uganda,4.08099985122681,0.381430715322495,0.217632606625557,2017,40177388.0
Burkina Faso,4.03200006484985,0.3502277135849,0.215844258666039,2017,19894407.0
Niger,4.02799987792969,0.161925330758095,0.26850500702858,2017,21435446.0
Malawi,3.97000002861023,0.233442038297653,0.315089583396912,2017,18039715.0
Chad,3.93600010871887,0.438012987375259,0.0411347150802612,2017,15622759.0
Zimbabwe,3.875,0.375846534967422,0.196763753890991,2017,14812482.0
Lesotho,3.80800008773804,0.521021246910095,0.0,2017,2157110.0
Angola,3.79500007629395,0.858428180217743,0.0498686656355858,2017,30234839.0
Afghanistan,3.79399991035461,0.401477217674255,0.180746778845787,2017,35688935.0
Botswana,3.76600003242493,1.12209415435791,0.341755509376526,2017,2266747.0
Benin,3.65700006484985,0.431085407733917,0.209930211305618,2017,12039780.0
Madagascar,3.64400005340576,0.305808693170547,0.375223308801651,2017,26788375.0
Haiti,3.6029999256134,0.368610262870789,0.277321130037308,2017,10817754.0
Yemen,3.59299993515015,0.591683447360992,0.310080915689468,2017,33090921.0
South Sudan,3.59100008010864,0.39724862575531,0.163486003875732,2017,10259154.0
Liberia,3.53299999237061,0.119041793048382,0.229918196797371,2017,4848925.0
Guinea,3.50699996948242,0.244549930095673,0.194129139184952,2017,12385659.0
Togo,3.49499988555908,0.305444717407227,0.247105568647385,2017,8057140.0
Rwanda,3.47099995613098,0.368745893239975,0.326424807310104,2017,12202060.0
Tanzania,3.34899997711182,0.511135876178741,0.364509284496307,2017,55652890.0
Burundi,2.90499997138977,0.091622568666935,0.151610791683197,2017,11506762.0
Finland,7.632,1.305,0.874,2018,5515525.0
Norway,7.594,1.456,0.861,2018,5311916.0
Denmark,7.555,1.351,0.868,2018,5793636.0
Iceland,7.495,1.343,0.914,2018,352721.0
Switzerland,7.487,1.42,0.927,2018,8514329.0
Netherlands,7.441,1.361,0.878,2018,17231624.0
Canada,7.328,1.33,0.896,2018,37072620.0
New Zealand,7.324,1.268,0.876,2018,4900600.0
Sweden,7.314,1.355,0.913,2018,10175214.0
Australia,7.272,1.34,0.91,2018,24963258.0
United Kingdom,7.19,1.244,0.888,2018,66460344.0
Austria,7.139,1.341,0.891,2018,8840521.0
Costa Rica,7.072,1.01,0.817,2018,4957818.0
Ireland,6.977,1.448,0.876,2018,4867316.0
Germany,6.965,1.34,0.861,2018,82905782.0
Belgium,6.927,1.324,0.894,2018,11427054.0
Luxembourg,6.91,1.576,0.896,2018,607950.0
United States,6.886,1.398,0.819,2018,326838199.0
Israel,6.814,1.301,0.883,2018,8882800.0
Czech Republic,6.711,1.233,0.854,2018,10629928.0
Malta,6.627,1.27,0.884,2018,484630.0
France,6.489,1.293,0.908,2018,67158348.0
Mexico,6.488,1.038,0.761,2018,124573711.0
Chile,6.476,1.131,0.808,2018,18893191.0
Panama,6.43,1.112,0.759,2018,4167860.0
Brazil,6.419,0.986,0.675,2018,206107261.0
Argentina,6.388,1.073,0.744,2018,44654882.0
Guatemala,6.382,0.781,0.608,2018,16845685.0
Uruguay,6.379,1.093,0.771,2018,3394534.0
Qatar,6.374,1.649,0.748,2018,2580734.0
Singapore,6.343,1.529,1.008,2018,5638676.0
Malaysia,6.322,1.161,0.669,2018,32910967.0
Spain,6.31,1.251,0.965,2018,46797754.0
Colombia,6.26,0.96,0.635,2018,49024465.0
Slovakia,6.173,1.21,0.776,2018,5446771.0
El Salvador,6.167,0.806,0.639,2018,6219807.0
Nicaragua,6.141,0.668,0.7,2018,6400080.0
Poland,6.123,1.176,0.781,2018,37974750.0
Bahrain,6.105,1.338,0.698,2018,1503091.0
Uzbekistan,6.096,0.719,0.605,2018,32373490.0
Kuwait,6.083,1.474,0.675,2018,4323515.0
Thailand,6.072,1.016,0.707,2018,71376079.0
Italy,6.0,1.264,0.946,2018,60421760.0
Ecuador,5.973,0.889,0.736,2018,17049547.0
Belize,5.956,0.807,0.474,2018,380226.0
Lithuania,5.952,1.197,0.716,2018,2801543.0
Slovenia,5.948,1.219,0.856,2018,2073894.0
Romania,5.945,1.116,0.726,2018,19473970.0
Latvia,5.933,1.148,0.671,2018,1927174.0
Japan,5.915,1.294,0.988,2018,126811000.0
Mauritius,5.891,1.09,0.684,2018,1265577.0
Jamaica,5.89,0.819,0.693,2018,2820097.0
Russia,5.81,1.151,0.599,2018,145398106.0
Kazakhstan,5.79,1.143,0.631,2018,18932727.0
Cyprus,5.762,1.229,0.909,2018,1270737.0
Bolivia,5.752,0.751,0.508,2018,11508368.0
Estonia,5.739,1.2,0.737,2018,1321977.0
Paraguay,5.681,0.835,0.615,2018,6427382.0
Peru,5.663,0.934,0.674,2018,31897584.0
Kosovo,5.662,0.855,0.578,2018,1797086.0
Moldova,5.64,0.657,0.62,2018,2707203.0
Turkmenistan,5.636,1.016,0.517,2018,6655524.0
Hungary,5.62,1.171,0.732,2018,9775564.0
Libya,5.566,0.985,0.553,2018,6849055.0
Philippines,5.524,0.775,0.513,2018,109465287.0
Honduras,5.504,0.62,0.622,2018,9765210.0
Belarus,5.483,1.039,0.7,2018,9438785.0
Turkey,5.483,1.148,0.686,2018,81407204.0
Pakistan,5.472,0.652,0.424,2018,226928892.0
Portugal,5.41,1.188,0.884,2018,10283822.0
Serbia,5.398,0.975,0.685,2018,6982604.0
Greece,5.358,1.154,0.879,2018,10732882.0
Lebanon,5.358,0.965,0.785,2018,5984119.0
Montenegro,5.347,1.017,0.729,2018,622227.0
Croatia,5.321,1.115,0.737,2018,3988775.0
Dominican Republic,5.302,0.982,0.614,2018,10782053.0
Algeria,5.295,0.979,0.687,2018,42505035.0
Morocco,5.254,0.779,0.669,2018,35839760.0
China,5.246,0.989,0.799,2018,1402760000.0
Azerbaijan,5.201,1.024,0.603,2018,9939771.0
Tajikistan,5.199,0.474,0.598,2018,9307333.0
Jordan,5.161,0.822,0.645,2018,10462306.0
Nigeria,5.155,0.689,0.048,2018,204938755.0
Kyrgyzstan,5.131,0.53,0.594,2018,6444078.5
Bosnia and Herzegovina,5.129,0.915,0.758,2018,3387000.0
Mongolia,5.125,0.914,0.575,2018,3208189.0
Indonesia,5.093,0.899,0.522,2018,269951846.0
Bhutan,5.082,0.796,0.527,2018,759759.0
Somalia,4.982,0.0,0.115,2018,15452487.0
Cameroon,4.975,0.535,0.182,2018,24806383.0
Bulgaria,4.933,1.054,0.712,2018,7025037.0
Nepal,4.88,0.425,0.539,2018,28079689.0
Venezuela,4.806,0.996,0.657,2018,29807592.0
Gabon,4.758,1.036,0.404,2018,2212318.0
Iran,4.707,1.059,0.691,2018,86117998.0
Cote d'Ivoire,4.671,0.541,0.08,2018,27464173.0
Ghana,4.657,0.592,0.337,2018,30637585.0
Senegal,4.631,0.429,0.433,2018,15914498.0
Tunisia,4.592,0.9,0.69,2018,11765514.0
Albania,4.586,0.916,0.79,2018,2866376.0
Sierra Leone,4.571,0.256,0.0,2018,7554563.0
Republic of Congo,4.559,0.682,0.343,2018,5483118.0
Bangladesh,4.5,0.532,0.579,2018,163523103.0
Sri Lanka,4.471,0.918,0.672,2018,21670000.0
Iraq,4.456,1.01,0.536,2018,40265624.0
Mali,4.447,0.37,0.152,2018,20442030.0
Namibia,4.441,0.874,0.365,2018,2577327.0
Cambodia,4.433,0.549,0.457,2018,16274522.0
Burkina Faso,4.424,0.314,0.254,2018,20438288.0
Mozambique,4.417,0.198,0.173,2018,29018644.0
Kenya,4.41,0.493,0.454,2018,50207107.0
Zambia,4.377,0.562,0.295,2018,17973569.0
Mauritania,4.356,0.557,0.292,2018,4337685.0
Ethiopia,4.35,0.308,0.391,2018,112664152.0
Georgia,4.34,0.853,0.643,2018,3726549.0
Armenia,4.321,0.816,0.666,2018,2969000.0
Myanmar,4.308,0.682,0.429,2018,52272247.0
Chad,4.301,0.358,0.053,2018,16156531.0
DR Congo,4.245,0.069,0.204,2018,90047644.0
India,4.19,0.721,0.485,2018,1374659064.0
Niger,4.166,0.131,0.221,2018,22188069.0
Uganda,4.161,0.322,0.237,2018,41565831.0
Benin,4.141,0.378,0.24,2018,12383347.0
Sudan,4.139,0.605,0.312,2018,44230596.0
Ukraine,4.103,0.793,0.609,2018,45208907.0
Togo,3.999,0.259,0.253,2018,8258778.0
Guinea,3.964,0.344,0.211,2018,12704774.0
Lesotho,3.808,0.472,0.079,2018,2183603.0
Angola,3.795,0.73,0.269,2018,31297155.0
Madagascar,3.774,0.262,0.402,2018,27494926.0
Zimbabwe,3.692,0.357,0.248,2018,15034452.0
Afghanistan,3.632,0.332,0.255,2018,36743039.0
Botswana,3.59,1.017,0.417,2018,2299141.0
Malawi,3.587,0.186,0.306,2018,18528081.0
Haiti,3.582,0.315,0.289,2018,10962362.0
Liberia,3.495,0.076,0.267,2018,4944726.0
Rwanda,3.408,0.332,0.4,2018,12487996.0
Yemen,3.355,0.442,0.343,2018,34085182.0
Tanzania,3.303,0.455,0.381,2018,57437145.0
South Sudan,3.254,0.337,0.177,2018,10122977.0
Burundi,2.905,0.091,0.145,2018,11859446.0
Finland,7.769,1.34,0.986,2019,5521606.0
Denmark,7.6,1.383,0.996,2019,5814422.0
Norway,7.554,1.488,1.028,2019,5347896.0
Iceland,7.494,1.38,1.026,2019,360563.0
Netherlands,7.488,1.396,0.999,2019,17344874.0
Switzerland,7.48,1.452,1.052,2019,8575280.0
Sweden,7.343,1.387,1.009,2019,10278887.0
New Zealand,7.307,1.303,1.026,2019,4979200.0
Canada,7.278,1.365,1.039,2019,37618495.0
Austria,7.246,1.376,1.016,2019,8879920.0
Australia,7.228,1.372,1.036,2019,25334826.0
Costa Rica,7.167,1.034,0.963,2019,4999553.0
Israel,7.139,1.276,1.029,2019,9054000.0
Luxembourg,7.09,1.609,1.012,2019,620001.0
United Kingdom,7.054,1.333,0.996,2019,66836327.0
Ireland,7.021,1.499,0.999,2019,4934340.0
Germany,6.985,1.373,0.987,2019,83092962.0
Belgium,6.923,1.356,0.986,2019,11488980.0
United States,6.892,1.433,0.874,2019,328329953.0
Czech Republic,6.852,1.269,0.92,2019,10671870.0
Malta,6.726,1.3,0.999,2019,504062.0
Mexico,6.595,1.07,0.861,2019,125762982.0
France,6.592,1.324,1.045,2019,67382061.0
Chile,6.444,1.159,0.92,2019,19197744.0
Guatemala,6.436,0.8,0.746,2019,17103803.0
Qatar,6.374,1.684,0.871,2019,2638657.0
Spain,6.354,1.286,1.062,2019,47134837.0
Panama,6.321,1.149,0.91,2019,4234700.0
Brazil,6.3,1.004,0.802,2019,207455459.0
Uruguay,6.293,1.124,0.891,2019,3397206.0
Singapore,6.262,1.572,1.141,2019,5703569.0
El Salvador,6.253,0.794,0.789,2019,6222318.0
Italy,6.223,1.294,1.039,2019,59729081.0
Bahrain,6.199,1.362,0.871,2019,1483756.0
Slovakia,6.198,1.246,0.881,2019,5454147.0
Poland,6.182,1.206,0.884,2019,37965475.0
Uzbekistan,6.174,0.745,0.756,2019,32964701.0
Lithuania,6.149,1.238,0.818,2019,2794137.0
Colombia,6.125,0.985,0.841,2019,49907985.0
Slovenia,6.118,1.258,0.953,2019,2088385.0
Nicaragua,6.105,0.694,0.835,2019,6483657.0
Kosovo,6.1,0.882,0.758,2019,1788891.0
Argentina,6.086,1.092,0.881,2019,44973465.0
Romania,6.07,1.162,0.825,2019,19371648.0
Cyprus,6.046,1.263,1.042,2019,1286671.0
Ecuador,6.028,0.912,0.868,2019,17340021.0
Kuwait,6.021,1.5,0.808,2019,4442316.0
Thailand,6.008,1.05,0.828,2019,71522271.0
Latvia,5.94,1.187,0.812,2019,1913822.0
Estonia,5.893,1.237,0.874,2019,1326898.0
Jamaica,5.89,0.831,0.831,2019,2823271.0
Mauritius,5.888,1.12,0.798,2019,1265985.0
Japan,5.886,1.327,1.088,2019,126633000.0
Honduras,5.86,0.642,0.828,2019,9943633.0
Kazakhstan,5.809,1.173,0.729,2019,19209555.0
Bolivia,5.779,0.776,0.706,2019,11671386.0
Hungary,5.758,1.201,0.828,2019,9771141.0
Paraguay,5.743,0.855,0.777,2019,6515058.0
Peru,5.697,0.96,0.854,2019,32449303.0
Portugal,5.693,1.221,0.999,2019,10286263.0
Pakistan,5.653,0.677,0.535,2019,230800899.0
Russia,5.648,1.183,0.726,2019,145453291.0
Philippines,5.631,0.807,0.657,2019,110804683.0
Serbia,5.603,1.004,0.854,2019,6945235.0
Moldova,5.529,0.685,0.739,2019,2664224.0
Libya,5.525,1.044,0.673,2019,6951033.0
Montenegro,5.523,1.051,0.871,2019,622028.0
Tajikistan,5.467,0.493,0.718,2019,9529966.0
Croatia,5.432,1.155,0.914,2019,3949390.0
Dominican Republic,5.425,1.015,0.779,2019,10894043.0
Bosnia and Herzegovina,5.386,0.945,0.845,2019,3345533.0
Turkey,5.373,1.183,0.808,2019,82579440.0
Malaysia,5.339,1.221,0.828,2019,33440596.0
Belarus,5.323,1.067,0.789,2019,9419758.0
Greece,5.287,1.181,0.999,2019,10721582.0
Mongolia,5.285,0.948,0.667,2019,3267673.0
North Macedonia,5.274,0.983,0.838,2019,1876262.0
Nigeria,5.265,0.696,0.245,2019,209485641.0
Kyrgyzstan,5.261,0.551,0.723,2019,6590211.0
Turkmenistan,5.247,1.052,0.657,2019,6803944.0
Algeria,5.211,1.002,0.785,2019,43294546.0
Morocco,5.208,0.801,0.782,2019,36210898.0
Azerbaijan,5.208,1.043,0.769,2019,10024283.0
Lebanon,5.197,0.987,0.815,2019,5794594.0
Indonesia,5.192,0.931,0.66,2019,272489381.0
China,5.191,1.029,0.893,2019,1407745000.0
Bhutan,5.082,0.813,0.604,2019,764824.0
Cameroon,5.044,0.549,0.331,2019,25506095.0
Bulgaria,5.011,1.092,0.815,2019,6975761.0
Ghana,4.996,0.611,0.486,2019,31258945.0
Cote d'Ivoire,4.944,0.569,0.232,2019,28193009.0
Nepal,4.913,0.446,0.677,2019,28414064.0
Jordan,4.906,0.837,0.815,2019,10671891.0
Benin,4.883,0.393,0.397,2019,12726755.0
Republic of Congo,4.812,0.673,0.508,2019,5616661.0
Gabon,4.799,1.057,0.571,2019,2267706.0
Albania,4.719,0.947,0.874,2019,2854191.0
Venezuela,4.707,0.96,0.805,2019,28938098.0
Cambodia,4.7,0.574,0.637,2019,16481304.0
Senegal,4.681,0.45,0.571,2019,16352922.0
Somalia,4.668,0.0,0.268,2019,16030971.0
Namibia,4.639,0.879,0.477,2019,2650494.0
Niger,4.628,0.138,0.366,2019,22947757.0
Burkina Faso,4.587,0.331,0.38,2019,20961952.0
Armenia,4.559,0.85,0.815,2019,2962500.0
Iran,4.548,1.1,0.785,2019,87051648.0
Guinea,4.534,0.38,0.375,2019,13034346.0
Georgia,4.519,0.886,0.752,2019,3720161.0
Kenya,4.509,0.512,0.581,2019,51202827.0
Mauritania,4.49,0.57,0.489,2019,4467708.0
Mozambique,4.466,0.204,0.39,2019,29884380.0
Tunisia,4.461,0.921,0.815,2019,11875081.0
Bangladesh,4.456,0.562,0.723,2019,164913055.0
Iraq,4.437,1.043,0.574,2019,41192171.0
DR Congo,4.418,0.094,0.357,2019,92947442.0
Mali,4.39,0.385,0.308,2019,21068405.0
Sierra Leone,4.374,0.268,0.242,2019,7731991.0
Sri Lanka,4.366,0.949,0.831,2019,21803000.0
Myanmar,4.36,0.71,0.555,2019,52640713.0
Chad,4.35,0.35,0.192,2019,16685223.0
Ukraine,4.332,0.82,0.739,2019,44957458.0
Ethiopia,4.286,0.336,0.532,2019,115737383.0
Eswatini,4.212,0.811,0.0,2019,1179874.0
Uganda,4.189,0.332,0.443,2019,42999637.0
Zambia,4.107,0.578,0.426,2019,18513839.0
Togo,4.085,0.275,0.41,2019,8463068.0
India,4.015,0.755,0.588,2019,1389030312.0
Liberia,3.975,0.073,0.443,2019,5043721.0
Comoros,3.973,0.274,0.505,2019,786578.0
Madagascar,3.933,0.274,0.555,2019,28219554.0
Lesotho,3.802,0.489,0.168,2019,2209405.0
Burundi,3.775,0.046,0.38,2019,12255336.0
Zimbabwe,3.663,0.366,0.433,2019,15271368.0
Haiti,3.597,0.323,0.449,2019,11105163.0
Botswana,3.488,1.041,0.538,2019,2332083.0
Malawi,3.41,0.191,0.495,2019,19025752.0
Yemen,3.38,0.287,0.463,2019,35111408.0
Rwanda,3.334,0.359,0.614,2019,12776103.0
Tanzania,3.231,0.476,0.499,2019,59174891.0
Afghanistan,3.203,0.35,0.361,2019,37856121.0
South Sudan,2.853,0.306,0.295,2019,10423384.0
